GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Aggregated Reports/cache-lib,io.oigres.ecomm.cache,RedissonCacheLockFactory,11,0,0,0,4,0,2,0,2,0
Aggregated Reports/cache-lib,io.oigres.ecomm.cache,CacheLockAspect,53,0,6,0,18,0,7,0,4,0
Aggregated Reports/cache-lib,io.oigres.ecomm.cache,LockAwareCacheDecorator,123,0,4,0,37,0,18,0,16,0
Aggregated Reports/cache-lib,io.oigres.ecomm.cache,CacheLockManager,122,0,16,0,33,0,16,0,8,0
Aggregated Reports/cache-lib,io.oigres.ecomm.cache,RedisLockAwareCacheManager,17,0,0,0,4,0,2,0,2,0
Aggregated Reports/cache-lib,io.oigres.ecomm.cache,GzipRedisSerializer,171,0,28,0,35,0,18,0,4,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.config,TracingConfiguration,9,0,0,0,2,0,2,0,2,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.config,ApplicationReadyInitializer,143,0,0,0,40,0,3,0,3,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.config,MicrometerConfig,8,0,0,0,2,0,2,0,2,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.config,KafkaConfig,76,0,0,0,19,0,5,0,5,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter,KafkaMPSBootstrap,13,0,0,0,4,0,3,0,3,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.Itr,227,0,38,0,53,0,24,0,5,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.reader,MessageReader,158,0,20,0,37,0,17,0,7,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.Node,0,12,0,0,0,4,0,1,0,1
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.OrderIterator,16,122,2,12,4,31,5,8,3,3
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue,1011,269,164,20,230,82,118,23,31,18
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.LBQSpliterator,202,0,40,0,41,0,27,0,7,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps,KafkaMessage,36,0,4,0,12,0,6,0,4,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps,MessagePollingListener,46,0,2,0,12,0,3,0,2,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.writer,RestApiCaller,45,0,6,0,9,0,4,0,1,0
Aggregated Reports/limiter-service-kafka-mps,io.oigres.ecomm.service.limiter.mps.writer,MessageWriter,113,0,6,0,33,0,8,0,5,0
Aggregated Reports/limiter-service-model,io.oigres.ecomm.service.limiter,BlackedInfo,0,14,0,4,0,1,0,3,0,1
Aggregated Reports/limiter-service-model,io.oigres.ecomm.service.limiter,ResponseAudit,4,38,2,2,2,6,2,4,0,4
Aggregated Reports/limiter-service-model,io.oigres.ecomm.service.limiter,RequestAudit,6,57,3,3,3,9,3,6,0,6
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.repositories,BlackedInfoCacheRepository,7,0,0,0,3,0,3,0,3,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.repositories,RequestCacheRepository,14,0,0,0,6,0,3,0,3,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.config,AspectConfiguration,7,0,0,0,2,0,2,0,2,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.config,TracingConfiguration,8,0,0,0,2,0,2,0,2,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.config,OpenApiV3Configuration,27,0,0,0,8,0,2,0,2,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.config,ApplicationReadyInitializer,95,0,0,0,27,0,3,0,3,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.config,KafkaConfig,23,0,0,0,6,0,2,0,2,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.config,CacheConfiguration,88,0,0,0,23,0,4,0,4,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.config,KafkaConfig.new KafkaTemplateObservationConvention() {...},27,0,0,0,4,0,2,0,2,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.services,RequestServiceImpl,245,0,24,0,64,0,20,0,8,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.model,StorageBucket,4,0,0,0,1,0,1,0,1,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter,ProcessorBootstrap,8,0,0,0,3,0,2,0,2,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.rest,ConsumerController,18,0,0,0,5,0,3,0,3,0
Aggregated Reports/limiter-service-processor,io.oigres.ecomm.service.limiter.rest,RequestController,5,0,0,0,2,0,2,0,2,0
